,place_id,name,cre_id,Longitud,Latitud,regular,premium
5121,7303,IRELA NAJERA JUAREZ,PL/4962/EXP/ES/2015,-99.03053,19.38137,20.89,22.89
5162,7344,"INN NUEVA YORK, S.A. DE C.V.",PL/3954/EXP/ES/2015,-99.17519,19.38998,20.89,22.79
5232,7414,GAS ROAN S.A. DE C.V.,PL/4252/EXP/ES/2015,-99.14552,19.3986,17.59,17.79
5309,7491,SERVICIO MOLIERE SA DE CV,PL/4614/EXP/ES/2015,-99.20211,19.43208,21.74,23.14
5339,7521,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6738/EXP/ES/2015,-99.12141,19.47486,20.59,22.59
5414,7596,GRUPO GASOLINERO DAT S.A.P.I DE C.V,PL/7057/EXP/ES/2015,-99.20095,19.40687,21.69,22.99
5424,7606,"Servicio Ramírez e Hijos, S.A. de C.V.",PL/6427/EXP/ES/2015,-99.10404,19.46066,20.49,22.69
5437,7619,"ESTACIÓN DE SERVICIO CALZADA DE LA VIGA, S.A. DE C.V.",PL/6369/EXP/ES/2015,-99.13647,19.40696,21.29,22.99
5455,7637,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6408/EXP/ES/2015,-99.15083,19.48754,21.69,22.99
5464,7646,"ESTACIÓN DE CARGA VÍA LÁCTEA, S.A. DE C.V.",PL/6692/EXP/ES/2015,-99.03779,19.34319,21.69,22.99
5471,7653,"Servicio Garay, S.A. de C.V.",PL/6485/EXP/ES/2015,-99.06476,19.33776,20.99,22.99
5512,7695,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6596/EXP/ES/2015,-99.16793,19.43853,21.69,22.99
5531,7714,SERVICIO EJE SEIS SA DE CV,PL/6936/EXP/ES/2015,-99.14546,19.37849,20.69,22.99
5558,7741,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6746/EXP/ES/2015,-99.15968,19.43142,21.69,22.99
5567,7750,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6712/EXP/ES/2015,-99.16587,19.41518,21.89,23.19
5594,7777,"Servicio Moreno Plutarco, S.A.",PL/6789/EXP/ES/2015,-99.13892,19.3598,20.97,22.71
5601,7784,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6770/EXP/ES/2015,-99.1552,19.42853,21.79,23.09
5604,7787,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6683/EXP/ES/2015,-99.17567,19.40145,21.69,22.99
5664,7847,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6728/EXP/ES/2015,-99.16984,19.40123,21.89,23.19
5665,7848,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6754/EXP/ES/2015,-99.13846,19.38855,21.69,22.99
5666,7849,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V",PL/6691/EXP/ES/2015,-99.03342,19.34363,21.69,22.99
5690,7873,"ESTACION DE SERVICIO 0210, S.A. DE C.V.",PL/7149/EXP/ES/2015,-99.15184,19.2975,19.99,21.79
5691,7874,"INMUEBLES JULIEN, S.A",PL/6379/EXP/ES/2015,-99.15102,19.45794,17.89,18.1
5704,7887,SERVICIO RIO DE LA PLATA S.A DE C.V,PL/6857/EXP/ES/2015,-99.17441,19.42785,19.99,22.99
5722,7905,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6364/EXP/ES/2015,-99.16779,19.40896,21.89,23.19
5795,7978,GRUPO TAMBRE S.A. DE C.V.,PL/6556/EXP/ES/2015,-99.2857,19.36309,20.29,22.29
5796,7979,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6696/EXP/ES/2015,-99.16547,19.39216,21.79,23.09
5802,7985,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6350/EXP/ES/2015,-99.20508,19.39031,21.59,22.89
5805,7988,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6705/EXP/ES/2015,-99.18779,19.34767,21.89,23.19
5843,8026,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6565/EXP/ES/2015,-99.14603,19.45234,20.39,21.99
5871,8054,SERVICIO TULYEHUALCO S.A. DE C.V.,PL/6979/EXP/ES/2015,-99.02377,19.25752,20.89,22.79
5945,8128,"Gasolinería Miramontes, S.A. de C.V.",PL/6540/EXP/ES/2015,-99.00448,19.17205,21.39,22.99
5964,8147,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6710/EXP/ES/2015,-99.16729,19.39709,20.59,22.59
6004,8187,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6706/EXP/ES/2015,-99.13254,19.38864,21.69,22.99
6005,8188,LUIS CABALLERO NAVARRO,PL/6541/EXP/ES/2015,-99.14169,19.33694,20.29,22.28
6007,8190,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6749/EXP/ES/2015,-99.17036,19.39932,21.89,23.19
6009,8192,ROBERTO RUBALCABA MENDEZ,PL/6402/EXP/ES/2015,-99.12566,19.35835,21.19,23.19
6015,8198,CONXO SA DE CV,PL/6944/EXP/ES/2015,-99.18111,19.39519,20.79,22.99
6017,8200,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6687/EXP/ES/2015,-99.18815,19.37937,21.79,23.09
6021,8204,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6700/EXP/ES/2015,-99.15585,19.42406,21.79,23.09
6068,8251,SERVICIO INTEGRAL NACIONAL S.A. DE C.V.,PL/6845/EXP/ES/2015,-99.15733,19.36219,20.69,23.07
6110,8293,"VIMA OL, S.A.",PL/6546/EXP/ES/2015,-99.14548,19.20048,20.29,22.89
6147,8330,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6598/EXP/ES/2015,-99.13245,19.49513,21.79,23.09
6163,8346,RAFAEL HERNANDEZ LOPEZ,PL/6363/EXP/ES/2015,-99.1223,19.39234,21.16,22.99
6187,8370,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6733/EXP/ES/2015,-99.11894,19.48499,20.59,22.59
6197,8380,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V",PL/6684/EXP/ES/2015,-99.08156,19.37091,21.69,22.99
6218,8401,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6694/EXP/ES/2015,-99.16113,19.41283,20.99,21.49
6245,8428,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6723/EXP/ES/2015,-99.18307,19.40314,21.19,22.99
6323,8506,"GPDC Estaciones de Servicio, S. A. DE C. V.",PL/6890/EXP/ES/2015,-99.25212,19.38054,20.29,23.39
6328,8511,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6458/EXP/ES/2015,-99.15057,19.39757,21.69,22.99
6337,8520,"ESTACIÓN DE SERVICIO MENORCA, S.A. DE C.V.",PL/6759/EXP/ES/2015,-99.12955,19.42293,21.69,22.99
6340,8523,"Servicio Santa Ursula, S.A. de C.V.",PL/6487/EXP/ES/2015,-99.14101,19.31259,20.39,22.19
6341,8524,"SERVICIOS SANTA MARIA, S DE RL DE CV",PL/6331/EXP/ES/2015,-99.03967,19.35983,21.29,23.03
6349,8532,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6698/EXP/ES/2015,-99.17624,19.4203,21.69,22.99
6391,8574,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,PL/7851/EXP/ES/2015,-99.21712,19.28972,21.34,22.99
6464,8647,SUPER SERVICIO NUEVO BC SA DE CV,PL/7803/EXP/ES/2015,-99.17188,19.4054,20.31,22.45
6481,8664,Inmobiliaria Terminal de Carga Oriente SA de CV,PL/7740/EXP/ES/2015,-99.04041,19.37377,21.25,22.96
6554,8737,"Servicio Moncobe, S.A. de C.V.",PL/7540/EXP/ES/2015,-99.12853,19.41404,20.89,22.89
6584,8768,COMERCIAL ULISES SA DE CV,PL/7800/EXP/ES/2015,-99.08042,19.41006,19.99,22.12
6591,8775,"SERVICIO AUTOMOTRIZ XOLA, S.A. DE C.V.",PL/7395/EXP/ES/2015,-99.14134,19.3943,20.29,22.69
6645,8829,SUPER SERVICIO CARRETERA SA DE CV,PL/7808/EXP/ES/2015,-99.25469,19.38169,20.21,22.29
6703,8887,AEROPUERTOS Y SERVICIOS AUXILIARES,PL/7717/EXP/ES/2015,-99.07579,19.43977,20.37,22.64
6721,8905,JUAMBELZ NEGOCIOS SA DE CV,PL/7704/EXP/ES/2015,-99.13636,19.40169,21.49,22.89
7056,9240,"SERVICIOS FELUSA, S.A.",PL/7904/EXP/ES/2015,-99.18526,19.39841,20.95,22.95
7067,9251,SERVICIO VERTIZ SA DE CV,PL/7797/EXP/ES/2015,-99.1498,19.40734,19.99,22.12
7089,9273,"ESTACIÓN DE CARGA VÍA LÁCTEA, S.A. DE C.V.",PL/7405/EXP/ES/2015,-99.09727,19.37566,21.59,22.89
7121,9305,SECRETARIA DE MARINA,PL/8351/EXP/ES/2015,-99.11384,19.31986,20.99,22.99
7143,9327,"Servicios Ciudad Jardin, S.A. de C.V.",PL/8185/EXP/ES/2015,-99.14257,19.33665,20.39,22.09
7213,9398,"Operadora Circunvalación, S.A. de C.V.",PL/8773/EXP/ES/2015,-99.16092,19.4552,19.99,22.59
7258,9443,SERVICIO JAVIER MEZA SA DE CV,PL/8651/EXP/ES/2015,-99.00661,19.26505,19.8,20
7297,9482,"Estación de Servicios para Autos Circuito, S.A.C.V",PL/8770/EXP/ES/2015,-99.08578,19.4407,19.99,21.99
7342,9527,"SERVICIO GASOLINERO GAL, S.A. DE C.V.",PL/8591/EXP/ES/2015,-99.10262,19.51177,19.99,21.99
7343,9528,"SERVICIO TULCINGO, S.A. DE C.V.",PL/8696/EXP/ES/2015,-99.07059,19.31467,21.39,21.99
7427,9613,SERVICIO RIVIERA SA,PL/8535/EXP/ES/2015,-99.15914,19.37792,20.31,22.45
7448,9634,"Estación de Servicio para Autos Centro, SA. de C.V",PL/8771/EXP/ES/2015,-99.13423,19.42038,20.59,22.69
7472,9658,SERVICIO COMONFORT SA DE CV,PL/8719/EXP/ES/2015,-99.13486,19.44478,19.95,22.12
7584,9770,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/8368/EXP/ES/2015,-99.12879,19.45635,20.59,22.59
7592,9778,"GASOLINERIAS PS, S.A. DE C.V.",PL/8706/EXP/ES/2015,-99.11649,19.26651,21.38,22.49
7596,9782,"Estacion La Laguna, S.A. de C.V.",PL/8462/EXP/ES/2015,-99.12089,19.44039,19.99,22.99
7674,9860,INMOBILIARIA LOS REYES FIASA  S  A   DE   C  V,PL/8151/EXP/ES/2015,-99.09435,19.4247,19.99,21.99
7799,9985,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",PL/8939/EXP/ES/2015,-99.11919,19.43847,21.59,22.89
7820,10006,"OCTANT, S.A. DE C.V.",PL/9015/EXP/ES/2015,-99.09225,19.4416,20.59,22.55
7890,10076,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",PL/8925/EXP/ES/2015,-99.09904,19.37263,21.59,22.89
7950,10136,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",PL/8907/EXP/ES/2015,-99.16377,19.3505,21.79,23.09
8027,10213,"NEPSOL, S.A. DE C.V.",PL/9009/EXP/ES/2015,-99.16246,19.29019,20.59,22.44
8047,10233,Gasolineria Montevideo SA de CV,PL/9102/EXP/ES/2015,-99.13651,19.49122,20.99,22.69
8071,10257,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",PL/8926/EXP/ES/2015,-99.01943,19.34613,21.69,22.99
8160,10346,"Super Servicio Viaducto Elsa, S.A.",PL/9715/EXP/ES/2015,-99.13679,19.40448,21.38,22.98
8171,10357,ALEJANDRO MARIO OCHOA FRAGOSO,PL/9723/EXP/ES/2015,-99.1395,19.4747,20.99,22.99
8216,10402,Servicio Guerrero y Marte SA de CV,PL/9326/EXP/ES/2015,-99.14648,19.45104,20.19,21.99
8265,10451,SERVICIOS SAN NICOLAS S.A. DE C.V.,PL/9611/EXP/ES/2015,-99.23257,19.28438,20.98,22.89
8266,10452,SERVICIOS SIMPA SA DE CV,PL/9673/EXP/ES/2015,-99.15725,19.38929,19.95,21.8
8292,10478,"Sabino Aguirre, S.A. de C.V.",PL/9702/EXP/ES/2015,-99.13698,19.4764,20.89,22.69
8325,10512,"SERVICIO CUAJIMALPA, S.A. DE C.V.",PL/9395/EXP/ES/2015,-99.29348,19.35468,20.39,22.32
8354,10541,"Servicio Combusa, S.A. de C.V.",PL/9594/EXP/ES/2015,-99.14275,19.47282,20.99,22.99
8415,10602,"SERVICIO 5441, S.A DE C.V.",PL/9669/EXP/ES/2015,-99.21729,19.28309,20.98,22.78
8505,10692,SONIA AVILA DAVILA,PL/9557/EXP/ES/2015,-99.05116,19.42927,20.55,22.35
8634,10842,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3205/EXP/ES/2015,-99.16999,19.41553,21.89,23.19
8637,10845,"SERVICIO REVOLUCION 0036, S.A. DE C.V.",PL/2901/EXP/ES/2015,-99.1853,19.39349,21,22.75
8685,10893,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3203/EXP/ES/2015,-99.13869,19.44649,19.99,21.99
8694,10902,MARIA ANA TATO DEZA,PL/3155/EXP/ES/2015,-99.08618,19.46996,20.79,22.94
8706,10914,ESTACION DE SERVICIO 0156 S.A. DE C.V.,PL/2900/EXP/ES/2015,-99.1377,19.45628,20.49,23.2
8739,10947,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3202/EXP/ES/2015,-99.13869,19.39436,19.89,22.49
8740,10948,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3206/EXP/ES/2015,-99.162,19.4512,20.19,22.89
8749,10957,MARIA JOSEFINA RODRIGUEZ GUTIERREZ,PL/3156/EXP/ES/2015,-99.11385,19.40819,20.79,22.79
8766,10974,"PIROTE, SA DE CV",PL/2996/EXP/ES/2015,-99.16678,19.2762,20.42,22.42
8773,10981,MARQUICE SA DE CV,PL/3192/EXP/ES/2015,-99.05666,19.41918,20.09,21.99
8809,11017,"Servicio Los Tres Compadres, S.A. de C.V.",PL/2904/EXP/ES/2015,-99.06223,19.37603,20.14,22.09
8818,11026,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3187/EXP/ES/2015,-99.09939,19.3972,21.79,23.09
8827,11035,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3204/EXP/ES/2015,-99.14233,19.36747,21.79,23.09
8836,11044,"Estación de Servicio Umbría, S.A. de C.V.",PL/1505/EXP/ES/2015,-99.29385,19.37025,21.79,22.99
8838,11046,OBSERVATORIO SA,PL/3154/EXP/ES/2015,-99.19707,19.4035,20.44,22.74
8842,11050,CONSORCIO GASOLINERA CENTRAL IV S.A. DE C.V.,PL/2951/EXP/ES/2015,-99.07874,19.37532,20.09,22.09
8851,11059,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3210/EXP/ES/2015,-99.12436,19.46712,20.59,22.59
8873,11081,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3201/EXP/ES/2015,-99.12016,19.4274,21.69,22.99
8877,11085,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3211/EXP/ES/2015,-99.1825,19.41599,21.69,22.99
8895,11103,BENZINA S.A DE C.V,PL/3059/EXP/ES/2015,-99.18951,19.38786,21.29,23.19
8916,11124,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3200/EXP/ES/2015,-99.15476,19.41566,21.79,23.09
8932,11140,SERVICIO MIRAMONTES SA,PL/3151/EXP/ES/2015,-99.13747,19.36992,20.87,22.66
8945,11153,GAS ABASTO SA DE CV,PL/3188/EXP/ES/2015,-99.09271,19.38327,20.79,22.85
8969,11177,ESTEFANIA PEREZ RUIZ,PL/2978/EXP/ES/2015,-99.0504,19.30034,21.39,22.91
8975,11183,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/3209/EXP/ES/2015,-99.12545,19.40181,21.69,22.99
9005,11328,"Estación de Carga Periférico Sur LM, S.A. de C.V.",PL/8139/EXP/ES/2015,-99.22291,19.36143,21.05,22.75
9011,11334,"GPDC Estaciones de Servicio, S. A. DE C. V.",PL/8147/EXP/ES/2015,-99.11799,19.45798,19.99,23.09
9013,11336,"Estación de Carga Periférico Sur LM, S.A. de C.V.",PL/8135/EXP/ES/2015,-99.19888,19.38359,21.79,22.99
9014,11337,PAVIRO SA DE CV,PL/8137/EXP/ES/2015,-99.21371,19.33844,21.89,23.49
9149,11476,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,PL/10084/EXP/ES/2015,-99.17435,19.41792,20.99,22.99
9152,11479,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,PL/10087/EXP/ES/2015,-99.15044,19.45354,20.39,22.89
9172,11501,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,PL/10159/EXP/ES/2015,-99.12649,19.46518,20.59,22.99
9173,11502,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,PL/10160/EXP/ES/2015,-99.16473,19.43035,21.19,22.99
9240,11572,"INMOBILIARIA CORSAL, SA DE CV",PL/10186/EXP/ES/2015,-99.12286,19.37325,21.16,22.99
9254,11586,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,PL/10200/EXP/ES/2015,-99.14319,19.418,20.59,22.79
9287,11619,"Gasolineria División Zapata, S.A. de C.V.",PL/10248/EXP/ES/2015,-99.15625,19.3671,21.14,22.99
9322,11656,"Servicio Ciudad Deportiva, S.A. de C.V.",PL/10284/EXP/ES/2015,-99.09052,19.40869,20.49,22.59
9341,11675,JOSE IGNACIO BERRONDO AVALOS,PL/10207/EXP/ES/2015,-99.11037,19.42771,19.75,22.4
9384,11718,YUMKA SA DE CV,PL/10304/EXP/ES/2015,-99.14959,19.4095,19.97,22.08
9664,12882,FRANCISCO GUERRERRO ORTEGA,PL/10758/EXP/ES/2015,-99.21813,19.32804,21.99,23.69
9731,12984,Universidad Nacional Autónoma de México,PL/10791/EXP/ES/2015,-99.18559,19.33661,20.99,22.99
9769,13039,"SERVICIO COLIMA, S.A.",PL/10877/EXP/ES/2015,-99.07964,19.47231,20.98,22.95
9813,13098,SAN LORENZO TEZONCO S.A. DE C.V.,PL/10884/EXP/ES/2015,-99.07602,19.3228,20.69,22.79
9826,13116,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/10897/EXP/ES/2015,-99.17289,19.37211,21.29,23.29
9838,13129,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V",PL/10909/EXP/ES/2015,-99.1392,19.42713,20.69,22.89
9840,13133,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V",PL/10911/EXP/ES/2015,-99.15272,19.42359,21.69,22.99
9878,13180,"GASOLINERA PARIS, S.A. DE C.V.",PL/10857/EXP/ES/2015,-99.1272,19.42106,20.89,22.79
9997,13353,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V",PL/11028/EXP/ES/2015,-99.08002,19.37103,21.69,22.99
10240,13743,Servicio Gransur SA de CV,PL/11487/EXP/ES/2015,-99.16595,19.30143,20.39,22.19
10241,13745,SUPER SERVICIO TAXQUEÑA SA DE CV,PL/11958/EXP/ES/2015,-99.15698,19.34344,21.99,23.99
10490,14217,"Servicio el Hueso, S.A. de C.V.",PL/12674/EXP/ES/2015,-99.10843,19.29984,19.99,22.99
10566,14340,INMOBILIARIA RIO CONSULADO SA DE CV,PL/12734/EXP/ES/2015,-99.11326,19.45451,19.99,22.99
10577,14355,"Combustibles Ermita, S.A. de C.V.",PL/12765/EXP/ES/2015,-99.08224,19.36572,19.93,22.26
10635,14419,SOCIEDAD COOPERATIVA EJIDAL DE SAN PEDRO ZACATENCO,PL/12800/EXP/ES/2015,-99.12801,19.50296,20.49,22.29
10737,14541,"Autoconsumo Tlalpan, S.A. de C.V.",PL/1310/EXP/ES/2015,-99.13772,19.32397,20.99,22.99
10761,14895,INMOBILIARIA MILLOALTO S.A. DE C.V.,PL/13126/EXP/ES/2016,-99.00644,19.20243,21.29,22.89
10884,16128,"Servicio Adonis, S.A. de C.V.",PL/13632/EXP/ES/2016,-99.10038,19.47434,20.99,22.99
10996,21052,"Administradora de Gasolineras Xochimilco, S.A. de C.V.",PL/19018/EXP/ES/2016,-99.11617,19.26787,21.39,23.19
11033,21158,"Estación de Servicio Virgilio, S.A. de C.V.",PL/18956/EXP/ES/2016,-99.07018,19.4455,20.19,22.69
11122,21476,ALEJANDRO MARIO OCHOA FRAGOSO,PL/19178/EXP/ES/2016,-99.1015,19.50028,20.69,22.49
11586,22854,"SOLUCIONES P&L, S.A.P.I. DE C.V.",PL/20121/EXP/ES/2017,-99.19868,19.35682,21.59,23.19
11822,24188,"SERVICIO EL ONCE, S.A. DE C.V.",PL/21028/EXP/ES/2018,-99.15266,19.46811,19.79,21.95
11891,24358,SERVICIO QADIRA SA DE CV,PL/21182/EXP/ES/2018,-99.16275,19.459,19.99,22.19
11933,24562,ESTACIÓN DE SERVICIO BOLONIA. S.A. DE C.V.,PL/21363/EXP/ES/2018,-99.19241,19.40542,20.49,22.79
12175,26048,Servicio Plateros S.A. de C.V.,PL/22422/EXP/ES/2019,-99.22659,19.36135,21.05,22.75
12282,26321,"ESTACIÓN DE SERVICIO ORIZABA, S.A. DE C.V.",PL/22586/EXP/ES/2019,-99.24942,19.38081,20.29,23.19
12327,26499,"GASOLINERÍA CORAL, S.A. DE C.V.",PL/22820/EXP/ES/2019,-99.21463,19.33994,21.99,23.49
12401,26640,Servicio Reserva Ajusco S.A. de C.V.,PL/22909/EXP/ES/2019,-99.17588,19.23401,20.19,21.99
12492,27016,"URBANA 270, S.A. DE C.V.",PL/23267/EXP/ES/2020,-99.20212,19.39263,21.29,22.79
